ID_Vehiculo,Modelo,Tipo_Vehiculo,Fecha_Viaje,Distancia_KM,Energia_Consumida_kWh,Peso_Carga_KG,Estado_Viaje,Origen,Destino
V101,Tesla Model 3,Sedan,2023-01-02,320.5,56.2,85,Completado,Monterrey,McAllen
V102,Ford Lightning,Camioneta,2023-01-03,210.0,98.5,880,Completado,CDMX,Queretaro
V103,Rivian R1S,SUV,2023-01-05,400.0,118.0,280,Completado,Guadalajara,Puerto Vallarta
V104,Nissan Leaf,Otro,2023-01-06,60.5,12.8,75,Completado,Queretaro,San Juan del Rio
V101,Tesla Model 3,Sedan,2023-01-08,0,0,80,Cancelado,Monterrey,Laredo
V105,Cybertruck,Camioneta,2023-01-10,500.0,210.0,1280,Completado,Tijuana,Phoenix
V106,BMW i4,Sedan,2023-01-12,250.0,46.5,90,Completado,San Luis Potosi,Zacatecas
V102,Ford Lightning,Camioneta,2023-01-15,100.0,48.0,580,Incidente,CDMX,Toluca
V107,Chevy Bolt,Otro,2023-01-16,80.0,15.2,95,Completado,Puebla,Tlaxcala
V103,Rivian R1S,SUV,2023-01-18,350.0,102.0,230,Completado,Guadalajara,Leon
V101,Tesla Model 3,Sedan,2023-01-20,310.0,54.8,110,Completado,Monterrey,Saltillo
V108,Kia EV6,SUV,2023-01-22,280.0,63.0,130,Completado,Merida,Cancun
V105,Cybertruck,Camioneta,2023-01-25,600.0,265.0,1590,Completado,Tijuana,Los Angeles
V104,Nissan Leaf,Otro,2023-01-26,0,0,75,Cancelado,Queretaro,Celaya
V109,Audi e-tron,SUV,2023-01-28,300.0,89.0,180,Completado,Leon,Aguascalientes
V101,Tesla Model 3,Sedan,2023-02-01,150.0,26.5,85,Completado,Monterrey,Linares
V102,Ford Lightning,Camioneta,2023-02-02,400.0,185.0,990,Completado,CDMX,Acapulco
V110,Mini Cooper,Otro,2023-02-03,40.0,8.2,80,Completado,CDMX,Naucalpan
V106,BMW i4,Sedan,2023-02-05,240.0,43.0,85,Completado,San Luis Potosi,Aguascalientes
V103,Rivian R1S,SUV,2023-02-07,390.0,112.0,260,Completado,Guadalajara,Manzanillo
V105,Cybertruck,Camioneta,2023-02-10,0,0,1100,Desconocido,Tijuana,San Diego
V101,Tesla Model 3,Sedan,2023-02-12,325.0,57.5,90,Completado,Monterrey,Laredo
V108,Kia EV6,SUV,2023-02-14,270.0,61.0,120,Completado,Cancun,Tulum
V107,Chevy Bolt,Otro,2023-02-15,85.0,16.0,100,Completado,Puebla,Atlixco
V102,Ford Lightning,Camioneta,2023-02-18,220.0,105.0,930,Completado,CDMX,Puebla
V109,Audi e-tron,SUV,2023-02-20,310.0,92.0,190,Completado,Leon,Morelia
V101,Tesla Model 3,Sedan,2023-02-22,50.0,10.5,85,Incidente,Monterrey,Santiago
V104,Nissan Leaf,Otro,2023-02-25,55.0,11.5,75,Completado,Queretaro,Bernal
V106,BMW i4,Sedan,2023-02-27,260.0,47.0,85,Completado,San Luis Potosi,Matehuala
V103,Rivian R1S,SUV,2023-03-01,100.0,32.0,180,Completado,Guadalajara,Chapala
V105,Cybertruck,Camioneta,2023-03-03,550.0,240.0,1380,Completado,Tijuana,Las Vegas
V110,Mini Cooper,Otro,2023-03-05,35.0,7.8,80,Completado,CDMX,Coyoacan
V101,Tesla Model 3,Sedan,2023-03-08,330.0,58.0,85,Completado,Monterrey,Brownsville
V102,Ford Lightning,Camioneta,2023-03-10,0,0,600,Cancelado,CDMX,Cuernavaca
V108,Kia EV6,SUV,2023-03-12,290.0,65.0,140,Completado,Merida,Playa del Carmen
V107,Chevy Bolt,Otro,2023-03-15,90.0,17.0,110,Completado,Puebla,San Martin Texmelucan
V109,Audi e-tron,SUV,2023-03-18,280.0,83.0,170,Completado,Leon,San Luis Potosi
V101,Tesla Model 3,Sedan,2023-03-20,100.0,18.5,80,Completado,Monterrey,Saltillo
V105,Cybertruck,Camioneta,2023-03-22,400.0,170.0,1100,Completado,Tijuana,Mexicali
V103,Rivian R1S,SUV,2023-03-25,200.0,64.0,200,Incidente,Guadalajara,Tequila
V104,Nissan Leaf,Otro,2023-03-27,65.0,13.5,75,Completado,Queretaro,Tequisquiapan
V106,BMW i4,Sedan,2023-03-30,230.0,41.0,80,Completado,San Luis Potosi,Queretaro
V102,Ford Lightning,Camioneta,2023-04-01,300.0,140.0,780,Completado,CDMX,Veracruz
V110,Mini Cooper,Otro,2023-04-03,45.0,9.2,85,Completado,CDMX,Santa Fe
V101,Tesla Model 3,Sedan,2023-04-05,340.0,60.5,95,Completado,Monterrey,San Antonio
V108,Kia EV6,SUV,2023-04-07,0,0,100,Desconocido,Cancun,Valladolid
V109,Audi e-tron,SUV,2023-04-10,320.0,95.0,200,Completado,Leon,Guadalajara
V105,Cybertruck,Camioneta,2023-04-12,650.0,285.0,1680,Completado,Tijuana,San Francisco
V107,Chevy Bolt,Otro,2023-04-15,75.0,14.5,100,Completado,Puebla,Cholula
V101,Tesla Model 3,Sedan,2023-04-18,200.0,36.0,85,Completado,Monterrey,Monclova
V103,Rivian R1S,SUV,2023-04-20,410.0,120.0,300,Completado,Guadalajara,Morelia
V102,Ford Lightning,Camioneta,2023-04-22,150.0,70.0,680,Completado,CDMX,Pachuca
V104,Nissan Leaf,Otro,2023-04-25,50.0,10.5,75,Completado,Queretaro,El Marques
V106,BMW i4,Sedan,2023-04-27,0,0,80,Cancelado,San Luis Potosi,Leon
V108,Kia EV6,SUV,2023-05-01,260.0,59.0,120,Completado,Cancun,Chetumal
V101,Tesla Model 3,Sedan,2023-05-03,315.0,56.0,90,Completado,Monterrey,Corpus Christi
V105,Cybertruck,Camioneta,2023-05-05,580.0,255.0,1480,Completado,Tijuana,Hermosillo
V110,Mini Cooper,Otro,2023-05-08,30.0,6.2,80,Completado,CDMX,Polanco
V109,Audi e-tron,SUV,2023-05-10,330.0,98.0,210,Completado,Leon,Queretaro
V102,Ford Lightning,Camioneta,2023-05-12,250.0,118.0,830,Completado,CDMX,Oaxaca
V107,Chevy Bolt,Otro,2023-05-15,100.0,19.0,115,Completado,Puebla,Tehuacan
V103,Rivian R1S,SUV,2023-05-18,150.0,55.0,180,Incidente,Guadalajara,Zapopan
V101,Tesla Model 3,Sedan,2023-05-20,350.0,62.0,95,Completado,Monterrey,Austin
V106,BMW i4,Sedan,2023-05-22,270.0,49.0,85,Completado,San Luis Potosi,Rio Verde
V104,Nissan Leaf,Otro,2023-05-25,0,0,75,Cancelado,Queretaro,Juriquilla
V108,Kia EV6,SUV,2023-05-27,300.0,68.0,150,Completado,Cancun,Merida
V105,Cybertruck,Camioneta,2023-06-01,700.0,310.0,1880,Completado,Tijuana,Tucson
V102,Ford Lightning,Camioneta,2023-06-03,0,0,500,Desconocido,CDMX,Morelia
V101,Tesla Model 3,Sedan,2023-06-05,120.0,21.5,85,Completado,Monterrey,Montemorelos
V110,Mini Cooper,Otro,2023-06-08,50.0,10.5,80,Completado,CDMX,Satelite
V109,Audi e-tron,SUV,2023-06-10,290.0,86.0,180,Completado,Leon,San Miguel de Allende
V103,Rivian R1S,SUV,2023-06-12,380.0,112.0,270,Completado,Guadalajara,Colima
V107,Chevy Bolt,Otro,2023-06-15,95.0,18.0,110,Completado,Puebla,Orizaba
V106,BMW i4,Sedan,2023-06-18,220.0,39.5,85,Completado,San Luis Potosi,Dolores Hidalgo
V101,Tesla Model 3,Sedan,2023-06-20,320.0,56.5,85,Completado,Monterrey,McAllen
V105,Cybertruck,Camioneta,2023-06-22,600.0,265.0,1580,Completado,Tijuana,Ensenada
V102,Ford Lightning,Camioneta,2023-06-25,180.0,85.0,730,Completado,CDMX,Queretaro
V108,Kia EV6,SUV,2023-06-28,250.0,56.0,110,Completado,Merida,Campeche
V104,Nissan Leaf,Otro,2023-07-01,60.0,12.5,75,Completado,Queretaro,Corregidora
V101,Tesla Model 3,Sedan,2023-07-03,0,0,80,Cancelado,Monterrey,Saltillo
V109,Audi e-tron,SUV,2023-07-05,310.0,92.0,190,Completado,Leon,Celaya
V103,Rivian R1S,SUV,2023-07-08,360.0,105.0,250,Completado,Guadalajara,Aguascalientes
V110,Mini Cooper,Otro,2023-07-10,38.0,8.0,80,Completado,CDMX,Roma Norte
V102,Ford Lightning,Camioneta,2023-07-12,400.0,190.0,1030,Completado,CDMX,Guadalajara
V106,BMW i4,Sedan,2023-07-15,250.0,46.0,90,Completado,San Luis Potosi,Zacatecas
V105,Cybertruck,Camioneta,2023-07-18,0,0,1200,Incidente,Tijuana,Rosarito
V107,Chevy Bolt,Otro,2023-07-20,80.0,15.0,100,Completado,Puebla,Huejotzingo
V101,Tesla Model 3,Sedan,2023-07-22,330.0,59.0,90,Completado,Monterrey,Laredo
V108,Kia EV6,SUV,2023-07-25,280.0,63.0,130,Completado,Cancun,Puerto Morelos
V104,Nissan Leaf,Otro,2023-07-28,0,0,75,Desconocido,Queretaro,San Juan del Rio
V102,Ford Lightning,Camioneta,2023-08-01,210.0,98.0,780,Completado,CDMX,Pachuca
V109,Audi e-tron,SUV,2023-08-03,300.0,89.0,180,Completado,Leon,Irapuato
V103,Rivian R1S,SUV,2023-08-05,400.0,118.0,280,Completado,Guadalajara,Tepic
V101,Tesla Model 3,Sedan,2023-08-08,150.0,27.0,85,Completado,Monterrey,Sabinas Hidalgo
V105,Cybertruck,Camioneta,2023-08-10,500.0,215.0,1280,Completado,Tijuana,Yuma
V110,Mini Cooper,Otro,2023-08-12,42.0,8.8,80,Completado,CDMX,Del Valle
V106,BMW i4,Sedan,2023-08-15,240.0,43.0,85,Completado,San Luis Potosi,Aguascalientes
V107,Chevy Bolt,Otro,2023-08-18,0,0,95,Cancelado,Puebla,Amozoc
V102,Ford Lightning,Camioneta,2023-08-20,300.0,142.0,880,Completado,CDMX,Xalapa
V108,Kia EV6,SUV,2023-08-22,270.0,60.5,120,Completado,Merida,Uxmal
V101,Tesla Model 3,Sedan,2023-08-25,325.0,58.0,90,Completado,Monterrey,McAllen
V103,Rivian R1S,SUV,2023-08-28,390.0,114.0,260,Completado,Guadalajara,Mazatlan
V109,Audi e-tron,SUV,2023-09-01,310.0,92.0,190,Completado,Leon,Guanajuato
V105,Cybertruck,Camioneta,2023-09-03,600.0,265.0,1580,Completado,Tijuana,San Jose
V104,Nissan Leaf,Otro,2023-09-05,55.0,11.5,75,Completado,Queretaro,Cadereyta
V102,Ford Lightning,Camioneta,2023-09-08,220.0,105.0,930,Completado,CDMX,Taxco
V101,Tesla Model 3,Sedan,2023-09-10,0,0,85,Incidente,Monterrey,San Pedro
V106,BMW i4,Sedan,2023-09-12,260.0,47.0,85,Completado,San Luis Potosi,Tampico
V110,Mini Cooper,Otro,2023-09-15,35.0,7.8,80,Completado,CDMX,Condesa
V107,Chevy Bolt,Otro,2023-09-18,90.0,17.0,110,Completado,Puebla,Cuautla
V103,Rivian R1S,SUV,2023-09-20,100.0,32.0,180,Completado,Guadalajara,Tlaquepaque
V108,Kia EV6,SUV,2023-09-22,290.0,65.0,140,Completado,Cancun,Isla Blanca
V105,Cybertruck,Camioneta,2023-09-25,550.0,240.0,1380,Completado,Tijuana,Palm Springs
V101,Tesla Model 3,Sedan,2023-09-28,330.0,58.0,85,Completado,Monterrey,Corpus Christi
V109,Audi e-tron,SUV,2023-10-01,280.0,83.0,170,Completado,Leon,Silao
V102,Ford Lightning,Camioneta,2023-10-03,0,0,700,Cancelado,CDMX,Toluca
V104,Nissan Leaf,Otro,2023-10-05,65.0,13.5,75,Completado,Queretaro,Ezequiel Montes
V106,BMW i4,Sedan,2023-10-08,230.0,41.0,80,Completado,San Luis Potosi,Ciudad Valles
V103,Rivian R1S,SUV,2023-10-10,200.0,64.0,200,Completado,Guadalajara,Lagos de Moreno
V101,Tesla Model 3,Sedan,2023-10-12,100.0,18.5,80,Completado,Monterrey,Cadereyta
V110,Mini Cooper,Otro,2023-10-15,45.0,9.2,85,Completado,CDMX,Centro Historico
V105,Cybertruck,Camioneta,2023-10-18,400.0,170.0,1100,Completado,Tijuana,Tecate
V108,Kia EV6,SUV,2023-10-20,0,0,100,Desconocido,Merida,Celestun
V102,Ford Lightning,Camioneta,2023-10-22,300.0,140.0,780,Completado,CDMX,Leon
V107,Chevy Bolt,Otro,2023-10-25,75.0,14.5,100,Completado,Puebla,San Andres Cholula
V109,Audi e-tron,SUV,2023-10-28,320.0,95.0,200,Completado,Leon,San Luis Potosi
V101,Tesla Model 3,Sedan,2023-11-01,340.0,60.5,95,Completado,Monterrey,Laredo
V106,BMW i4,Sedan,2023-11-03,250.0,45.0,85,Completado,San Luis Potosi,Queretaro
V103,Rivian R1S,SUV,2023-11-05,410.0,120.0,300,Completado,Guadalajara,Uruapan
V104,Nissan Leaf,Otro,2023-11-08,50.0,10.5,75,Completado,Queretaro,Pedro Escobedo
V105,Cybertruck,Camioneta,2023-11-10,650.0,285.0,1680,Completado,Tijuana,Santa Barbara
V102,Ford Lightning,Camioneta,2023-11-12,150.0,70.0,680,Completado,CDMX,Tepoztlan
V101,Tesla Model 3,Sedan,2023-11-15,200.0,36.0,85,Completado,Monterrey,China
V108,Kia EV6,SUV,2023-11-18,260.0,59.0,120,Completado,Cancun,Akumal
V110,Mini Cooper,Otro,2023-11-20,30.0,6.2,80,Completado,CDMX,Narvarte
V109,Audi e-tron,SUV,2023-11-22,330.0,98.0,210,Completado,Leon,Zamora
V107,Chevy Bolt,Otro,2023-11-25,0,0,95,Cancelado,Puebla,Tlaxcala
V106,BMW i4,Sedan,2023-11-28,270.0,49.0,85,Completado,San Luis Potosi,Matehuala
V103,Rivian R1S,SUV,2023-12-01,380.0,112.0,270,Completado,Guadalajara,Zacatecas
V105,Cybertruck,Camioneta,2023-12-03,580.0,255.0,1480,Completado,Tijuana,Las Vegas
V101,Tesla Model 3,Sedan,2023-12-05,315.0,56.0,90,Completado,Monterrey,McAllen
V102,Ford Lightning,Camioneta,2023-12-08,250.0,118.0,830,Completado,CDMX,Tehuacan
V104,Nissan Leaf,Otro,2023-12-10,0,0,75,Incidente,Queretaro,San Juan del Rio
V108,Kia EV6,SUV,2023-12-12,300.0,68.0,150,Completado,Cancun,Holbox
V109,Audi e-tron,SUV,2023-12-15,290.0,86.0,180,Completado,Leon,Salamanca
V107,Chevy Bolt,Otro,2023-12-18,100.0,19.0,115,Completado,Puebla,Izucar
V110,Mini Cooper,Otro,2023-12-20,50.0,10.5,80,Completado,CDMX,Lindavista
V106,BMW i4,Sedan,2023-12-22,220.0,39.5,85,Completado,San Luis Potosi,Rio Verde
V101,Tesla Model 3,Sedan,2023-12-25,350.0,62.0,95,Completado,Monterrey,San Antonio
V105,Cybertruck,Camioneta,2023-12-27,700.0,310.0,1880,Completado,Tijuana,San Francisco
V103,Rivian R1S,SUV,2023-12-29,150.0,55.0,180,Completado,Guadalajara,Ajijic
V102,Ford Lightning,Camioneta,2023-12-30,180.0,85.0,730,Completado,CDMX,Cuautla
V101,Tesla Model 3,Sedan,2023-01-02,320.5,56.2,85,Completado,Monterrey,Laredo
V102,Ford Lightning,Camioneta,2023-01-03,210.0,98.5,880,Completado,CDMX,Queretaro
V103,Rivian R1S,SUV,2023-01-05,400.0,118.0,280,Completado,Guadalajara,Puerto Vallarta
V104,Nissan Leaf,Otro,2023-01-06,60.5,12.8,75,Completado,Queretaro,Celaya
V101,Tesla Model 3,Sedan,2023-01-08,0,0,80,Cancelado,Monterrey,Saltillo
V105,Cybertruck,Camioneta,2023-01-10,500.0,210.0,1280,Completado,Tijuana,Phoenix
V106,BMW i4,Sedan,2023-01-12,250.0,46.5,90,Completado,San Luis Potosi,Zacatecas
V102,Ford Lightning,Camioneta,2023-01-15,100.0,48.0,580,Incidente,CDMX,Pachuca
V107,Chevy Bolt,Otro,2023-01-16,80.0,15.2,95,Completado,Puebla,Tlaxcala
V103,Rivian R1S,SUV,2023-01-18,350.0,102.0,230,Completado,Guadalajara,Leon
V101,Tesla Model 3,Sedan,2023-01-20,310.0,54.8,110,Completado,Monterrey,McAllen
V108,Kia EV6,SUV,2023-01-22,280.0,63.0,130,Completado,Merida,Cancun
V105,Cybertruck,Camioneta,2023-01-25,600.0,265.0,1590,Completado,Tijuana,Los Angeles
V104,Nissan Leaf,Otro,2023-01-26,0,0,75,Cancelado,Queretaro,San Juan del Rio
V109,Audi e-tron,SUV,2023-01-28,300.0,89.0,180,Completado,Leon,San Luis Potosi
V101,Tesla Model 3,Sedan,2023-02-01,150.0,26.5,85,Completado,Monterrey,Linares
V102,Ford Lightning,Camioneta,2023-02-02,400.0,185.0,990,Completado,CDMX,Acapulco
V110,Mini Cooper,Otro,2023-02-03,40.0,8.2,80,Completado,CDMX,Naucalpan
V106,BMW i4,Sedan,2023-02-05,240.0,43.0,85,Completado,San Luis Potosi,Aguascalientes
V103,Rivian R1S,SUV,2023-02-07,390.0,112.0,260,Completado,Guadalajara,Manzanillo
V105,Cybertruck,Camioneta,2023-02-10,0,0,1100,Desconocido,Tijuana,San Diego
V101,Tesla Model 3,Sedan,2023-02-12,325.0,57.5,90,Completado,Monterrey,Brownsville
V108,Kia EV6,SUV,2023-02-14,270.0,61.0,120,Completado,Cancun,Playa del Carmen
V107,Chevy Bolt,Otro,2023-02-15,85.0,16.0,100,Completado,Puebla,Atlixco
V102,Ford Lightning,Camioneta,2023-02-18,220.0,105.0,930,Completado,CDMX,Puebla
V109,Audi e-tron,SUV,2023-02-20,310.0,92.0,190,Completado,Leon,Morelia
V101,Tesla Model 3,Sedan,2023-02-22,50.0,10.5,85,Incidente,Monterrey,Santiago
V104,Nissan Leaf,Otro,2023-02-25,55.0,11.5,75,Completado,Queretaro,Bernal
V106,BMW i4,Sedan,2023-02-27,260.0,47.0,85,Completado,San Luis Potosi,Matehuala
V103,Rivian R1S,SUV,2023-03-01,100.0,32.0,180,Completado,Guadalajara,Tequila
V105,Cybertruck,Camioneta,2023-03-03,550.0,240.0,1380,Completado,Tijuana,Las Vegas
V110,Mini Cooper,Otro,2023-03-05,35.0,7.8,80,Completado,CDMX,Coyoacan
V101,Tesla Model 3,Sedan,2023-03-08,330.0,58.0,85,Completado,Monterrey,Laredo
V102,Ford Lightning,Camioneta,2023-03-10,0,0,600,Cancelado,CDMX,Toluca
V108,Kia EV6,SUV,2023-03-12,290.0,65.0,140,Completado,Merida,Tulum
V107,Chevy Bolt,Otro,2023-03-15,90.0,17.0,110,Completado,Puebla,San Martin Texmelucan
V109,Audi e-tron,SUV,2023-03-18,280.0,83.0,170,Completado,Leon,Aguascalientes
V101,Tesla Model 3,Sedan,2023-03-20,100.0,18.5,80,Completado,Monterrey,Saltillo
V105,Cybertruck,Camioneta,2023-03-22,400.0,170.0,1100,Completado,Tijuana,Mexicali
V103,Rivian R1S,SUV,2023-03-25,200.0,64.0,200,Incidente,Guadalajara,Chapala
V104,Nissan Leaf,Otro,2023-03-27,65.0,13.5,75,Completado,Queretaro,Tequisquiapan
V106,BMW i4,Sedan,2023-03-30,230.0,41.0,80,Completado,San Luis Potosi,Leon
V102,Ford Lightning,Camioneta,2023-04-01,300.0,140.0,780,Completado,CDMX,Veracruz
V110,Mini Cooper,Otro,2023-04-03,45.0,9.2,85,Completado,CDMX,Santa Fe
V101,Tesla Model 3,Sedan,2023-04-05,340.0,60.5,95,Completado,Monterrey,Austin
V108,Kia EV6,SUV,2023-04-07,0,0,100,Desconocido,Cancun,Valladolid
V109,Audi e-tron,SUV,2023-04-10,320.0,95.0,200,Completado,Leon,Guanajuato
V105,Cybertruck,Camioneta,2023-04-12,650.0,285.0,1680,Completado,Tijuana,San Jose
V107,Chevy Bolt,Otro,2023-04-15,75.0,14.5,100,Completado,Puebla,Cholula
V101,Tesla Model 3,Sedan,2023-04-18,200.0,36.0,85,Completado,Monterrey,Montemorelos
V103,Rivian R1S,SUV,2023-04-20,410.0,120.0,300,Completado,Guadalajara,Morelia
V102,Ford Lightning,Camioneta,2023-04-22,150.0,70.0,680,Completado,CDMX,Pachuca
V104,Nissan Leaf,Otro,2023-04-25,50.0,10.5,75,Completado,Queretaro,El Marques
V106,BMW i4,Sedan,2023-04-27,0,0,80,Cancelado,San Luis Potosi,Queretaro
V108,Kia EV6,SUV,2023-05-01,260.0,59.0,120,Completado,Cancun,Chetumal
V101,Tesla Model 3,Sedan,2023-05-03,315.0,56.0,90,Completado,Monterrey,San Antonio
V105,Cybertruck,Camioneta,2023-05-05,580.0,255.0,1480,Completado,Tijuana,Hermosillo
V110,Mini Cooper,Otro,2023-05-08,30.0,6.2,80,Completado,CDMX,Polanco
V109,Audi e-tron,SUV,2023-05-10,330.0,98.0,210,Completado,Leon,Queretaro
V102,Ford Lightning,Camioneta,2023-05-12,250.0,118.0,830,Completado,CDMX,Oaxaca
V107,Chevy Bolt,Otro,2023-05-15,100.0,19.0,115,Completado,Puebla,Orizaba
V103,Rivian R1S,SUV,2023-05-18,150.0,55.0,180,Incidente,Guadalajara,Zapopan
V101,Tesla Model 3,Sedan,2023-05-20,350.0,62.0,95,Completado,Monterrey,Laredo
V106,BMW i4,Sedan,2023-05-22,270.0,49.0,85,Completado,San Luis Potosi,Rio Verde
V104,Nissan Leaf,Otro,2023-05-25,0,0,75,Cancelado,Queretaro,Juriquilla
V108,Kia EV6,SUV,2023-05-27,300.0,68.0,150,Completado,Cancun,Merida